PID    | SYSCALL_NAME   | RETURN_VALUE | ELAPSED_TIME (s)
-------|----------------|--------------|-------------
11992  | unknown          | 0            | 3.236161
11992  | rt_sigprocmask   | 0            | 3.236547
11992  | ioctl            | 0            | 3.236715
11992  | rt_sigprocmask   | 0            | 3.236916
11992  | ioctl            | 0            | 3.237054
11992  | ioctl            | 0            | 3.237235
11992  | rt_sigprocmask   | 0            | 3.237434
11992  | rt_sigprocmask   | 0            | 3.237608
11992  | rt_sigaction     | 0            | 3.237806
11992  | rt_sigprocmask   | 0            | 3.237938
11992  | ioctl            | 0            | 3.238074
11992  | rt_sigprocmask   | 0            | 3.238199
11992  | rt_sigaction     | 0            | 3.238326
11992  | unknown          | 0            | 3.238557
11992  | ioctl            | 0            | 3.238670
11992  | ioctl            | 0            | 3.238787
11992  | ioctl            | 0            | 3.238944
11992  | ioctl            | 0            | 3.239122
11992  | ioctl            | 0            | 3.239281
11992  | ioctl            | 0            | 3.239413
11992  | write            | 0            | 3.239542
11992  | rt_sigprocmask   | 0            | 3.239708
11992  | rt_sigaction     | 0            | 3.239905
11992  | rt_sigaction     | 0            | 3.240044
11992  | rt_sigaction     | 0            | 3.240245
11992  | rt_sigaction     | 0            | 3.240418
11992  | rt_sigaction     | 0            | 3.240587
11992  | rt_sigaction     | 0            | 3.240807
11992  | rt_sigaction     | 0            | 3.240998
11992  | rt_sigaction     | 0            | 3.241138
11992  | rt_sigaction     | 0            | 3.241347
11992  | rt_sigaction     | 0            | 3.241587
11992  | rt_sigaction     | 0            | 3.241746
11992  | rt_sigaction     | 0            | 3.241949
11992  | rt_sigaction     | 0            | 3.242142
11992  | rt_sigprocmask   | 0            | 3.242377
11992  | rt_sigaction     | 0            | 3.242566
11992  | write            | 0            | 3.242866
11992  | unknown          | 0            | 2.243258
11992  | rt_sigprocmask   | 0            | 2.243550
11992  | ioctl            | 0            | 2.243799
11992  | rt_sigprocmask   | 0            | 2.243947
11992  | ioctl            | 0            | 2.244096
11992  | ioctl            | 0            | 2.244263
11992  | rt_sigprocmask   | 0            | 2.244435
11992  | rt_sigprocmask   | 0            | 2.244573
11992  | rt_sigaction     | 0            | 2.244791
11992  | rt_sigprocmask   | 0            | 2.244916
11992  | ioctl            | 0            | 2.245043
11992  | rt_sigprocmask   | 0            | 2.245177
11992  | rt_sigaction     | 0            | 2.245293
11992  | unknown          | 0            | 2.245553
11992  | ioctl            | 0            | 2.245686
11992  | ioctl            | 0            | 2.245816
11992  | ioctl            | 0            | 2.245948
11992  | ioctl            | 0            | 2.246108
11992  | ioctl            | 0            | 2.246275
11992  | ioctl            | 0            | 2.246459
11992  | write            | 0            | 2.246606
11992  | rt_sigprocmask   | 0            | 2.246723
11992  | rt_sigaction     | 0            | 2.246848
11992  | rt_sigaction     | 0            | 2.246978
11992  | rt_sigaction     | 0            | 2.247108
11992  | rt_sigaction     | 0            | 2.247234
11992  | rt_sigaction     | 0            | 2.247358
11992  | rt_sigaction     | 0            | 2.247491
11992  | rt_sigaction     | 0            | 2.247641
11992  | rt_sigaction     | 0            | 2.247768
11992  | rt_sigaction     | 0            | 2.247888
11992  | rt_sigaction     | 0            | 2.248014
11992  | rt_sigaction     | 0            | 2.248150
11992  | rt_sigaction     | 0            | 2.248280
11992  | rt_sigaction     | 0            | 2.248393
11992  | rt_sigprocmask   | 0            | 2.248532
11992  | rt_sigaction     | 0            | 2.248681
11992  | write            | 0            | 2.248838
11992  | unknown          | 0            | 5.753298
11992  | rt_sigprocmask   | 0            | 5.753645
11992  | ioctl            | 0            | 5.753788
11992  | rt_sigprocmask   | 0            | 5.753952
11992  | ioctl            | 0            | 5.754076
11992  | ioctl            | 0            | 5.754197
11992  | rt_sigprocmask   | 0            | 5.754349
11992  | rt_sigprocmask   | 0            | 5.754518
11992  | rt_sigaction     | 0            | 5.754750
11992  | rt_sigprocmask   | 0            | 5.754892
11992  | ioctl            | 0            | 5.755069
11992  | rt_sigprocmask   | 0            | 5.755233
11992  | rt_sigaction     | 0            | 5.755408
11992  | unknown          | 0            | 5.755654
11992  | ioctl            | 0            | 5.755812
11992  | ioctl            | 0            | 5.755955
11992  | ioctl            | 0            | 5.756140
11992  | ioctl            | 0            | 5.756285
11992  | ioctl            | 0            | 5.756465
11992  | ioctl            | 0            | 5.756661
11992  | write            | 0            | 5.756799
11992  | rt_sigprocmask   | 0            | 5.756918
11992  | rt_sigaction     | 0            | 5.757029
11992  | rt_sigaction     | 0            | 5.757158
11992  | rt_sigaction     | 0            | 5.757304
11992  | rt_sigaction     | 0            | 5.757466
11992  | rt_sigaction     | 0            | 5.757586
11992  | rt_sigaction     | 0            | 5.757715
11992  | rt_sigaction     | 0            | 5.757837
11992  | rt_sigaction     | 0            | 5.757967
11992  | rt_sigaction     | 0            | 5.758129
11992  | rt_sigaction     | 0            | 5.758253
11992  | rt_sigaction     | 0            | 5.758398
11992  | rt_sigaction     | 0            | 5.758512
11992  | rt_sigaction     | 0            | 5.758624
11992  | rt_sigprocmask   | 0            | 5.758732
11992  | rt_sigaction     | 0            | 5.758847
11992  | write            | 0            | 5.758977
17032  | execve           | 12           | 0.001228
17032  | brk              | 9            | 0.001491
17032  | mmap             | 21           | 0.001659
17032  | access           | 257          | 0.001780
17032  | openat           | 5            | 0.001919
17032  | fstat            | 9            | 0.002043
17032  | mmap             | 3            | 0.002200
17032  | close            | 257          | 0.002317
17032  | openat           | 0            | 0.002423
17032  | read             | 5            | 0.002536
17032  | fstat            | 9            | 0.002633
17032  | mmap             | 9            | 0.002740
17032  | mmap             | 9            | 0.002861
17032  | mmap             | 9            | 0.003000
17032  | mmap             | 9            | 0.003148
17032  | mmap             | 3            | 0.003281
17032  | close            | 257          | 0.003408
17032  | openat           | 0            | 0.003508
17032  | read             | 17           | 0.003631
17032  | unknown          | 5            | 0.003736
17032  | fstat            | 17           | 0.003820
17032  | unknown          | 9            | 0.003901
17032  | mmap             | 9            | 0.004028
17032  | mmap             | 9            | 0.004129
17032  | mmap             | 9            | 0.004223
17032  | mmap             | 9            | 0.004387
17032  | mmap             | 3            | 0.004591
17032  | close            | 257          | 0.004849
17032  | openat           | 0            | 0.005000
17032  | read             | 5            | 0.005166
17032  | fstat            | 9            | 0.005368
17032  | mmap             | 9            | 0.005557
17032  | mmap             | 9            | 0.005872
17032  | mmap             | 9            | 0.006096
17032  | mmap             | 3            | 0.006342
17032  | close            | 9            | 0.006625
17032  | mmap             | 158          | 0.006843
17032  | unknown          | 218          | 0.007145
17032  | set_tid_address  | 273          | 0.007331
17032  | unknown          | 334          | 0.007419
17032  | unknown          | 10           | 0.007633
17032  | mprotect         | 10           | 0.007799
17032  | mprotect         | 10           | 0.007994
17032  | mprotect         | 10           | 0.008225
17032  | mprotect         | 10           | 0.008405
17032  | mprotect         | 302          | 0.008525
17032  | unknown          | 11           | 0.008744
17032  | munmap           | 137          | 0.008903
17032  | unknown          | 137          | 0.009093
17032  | unknown          | 318          | 0.009306
17032  | getrandom        | 12           | 0.009453
17032  | brk              | 12           | 0.009556
17032  | brk              | 257          | 0.009700
17032  | openat           | 5            | 0.009881
17032  | fstat            | 0            | 0.010037
17032  | read             | 0            | 0.010175
17032  | read             | 3            | 0.010281
17032  | close            | 21           | 0.010385
17032  | access           | 257          | 0.010526
17032  | openat           | 5            | 0.010766
17032  | fstat            | 9            | 0.010950
17032  | mmap             | 3            | 0.011103
17032  | close            | 16           | 0.011355
17032  | ioctl            | 16           | 0.011626
17032  | ioctl            | 257          | 0.012150
17032  | openat           | 5            | 0.012661
17032  | fstat            | 217          | 0.012907
17032  | unknown          | 217          | 0.013149
17032  | unknown          | 3            | 0.013243
17032  | close            | 5            | 0.013507
17032  | fstat            | 1            | 0.013633
17032  | write            | 1            | 0.013793
17032  | write            | 1            | 0.013907
17032  | write            | 3            | 0.014084
17032  | close            | 3            | 0.014189
17032  | close            | 231          | 0.014324
17037  | execve           | 12           | 0.001064
17037  | brk              | 9            | 0.001303
17037  | mmap             | 21           | 0.001460
17037  | access           | 257          | 0.001557
17037  | openat           | 5            | 0.001654
17037  | fstat            | 9            | 0.001767
17037  | mmap             | 3            | 0.001905
17037  | close            | 257          | 0.002020
17037  | openat           | 0            | 0.002123
17037  | read             | 5            | 0.002214
17037  | fstat            | 9            | 0.002332
17037  | mmap             | 9            | 0.002448
17037  | mmap             | 9            | 0.002566
17037  | mmap             | 9            | 0.002682
17037  | mmap             | 9            | 0.002864
17037  | mmap             | 3            | 0.003033
17037  | close            | 257          | 0.003181
17037  | openat           | 0            | 0.003279
17037  | read             | 17           | 0.003384
17037  | unknown          | 5            | 0.003468
17037  | fstat            | 17           | 0.003550
17037  | unknown          | 9            | 0.003651
17037  | mmap             | 9            | 0.003741
17037  | mmap             | 9            | 0.003852
17037  | mmap             | 9            | 0.003948
17037  | mmap             | 9            | 0.004097
17037  | mmap             | 3            | 0.004205
17037  | close            | 257          | 0.004295
17037  | openat           | 0            | 0.004406
17037  | read             | 5            | 0.004495
17037  | fstat            | 9            | 0.004594
17037  | mmap             | 9            | 0.004694
17037  | mmap             | 9            | 0.004824
17037  | mmap             | 9            | 0.004922
17037  | mmap             | 3            | 0.005044
17037  | close            | 9            | 0.005143
17037  | mmap             | 158          | 0.005248
17037  | unknown          | 218          | 0.005334
17037  | set_tid_address  | 273          | 0.005413
17037  | unknown          | 334          | 0.005513
17037  | unknown          | 10           | 0.005684
17037  | mprotect         | 10           | 0.005780
17037  | mprotect         | 10           | 0.005978
17037  | mprotect         | 10           | 0.006120
17037  | mprotect         | 10           | 0.006222
17037  | mprotect         | 302          | 0.006360
17037  | unknown          | 11           | 0.006457
17037  | munmap           | 137          | 0.006574
17037  | unknown          | 137          | 0.006669
17037  | unknown          | 318          | 0.006761
17037  | getrandom        | 12           | 0.006854
17037  | brk              | 12           | 0.006929
17037  | brk              | 257          | 0.007018
17037  | openat           | 5            | 0.007116
17037  | fstat            | 0            | 0.007194
17037  | read             | 0            | 0.007288
17037  | read             | 3            | 0.007363
17037  | close            | 21           | 0.007442
17037  | access           | 257          | 0.007553
17037  | openat           | 5            | 0.007635
17037  | fstat            | 9            | 0.007708
17037  | mmap             | 3            | 0.007817
17037  | close            | 16           | 0.007946
17037  | ioctl            | 16           | 0.008022
17037  | ioctl            | 257          | 0.008114
17037  | openat           | 5            | 0.008190
17037  | fstat            | 217          | 0.008266
17037  | unknown          | 217          | 0.008378
17037  | unknown          | 3            | 0.008451
17037  | close            | 5            | 0.008567
17037  | fstat            | 1            | 0.008648
17037  | write            | 1            | 0.008760
17037  | write            | 1            | 0.008863
17037  | write            | 3            | 0.008961
17037  | close            | 3            | 0.009036
17037  | close            | 231          | 0.009174
11992  | unknown          | 0            | 4.239529
11992  | rt_sigprocmask   | 0            | 4.239801
11992  | ioctl            | 0            | 4.240039
11992  | rt_sigprocmask   | 0            | 4.240201
11992  | ioctl            | 0            | 4.240475
11992  | ioctl            | 0            | 4.240600
11992  | rt_sigprocmask   | 0            | 4.240759
11992  | rt_sigprocmask   | 0            | 4.240988
11992  | rt_sigaction     | 0            | 4.241307
11992  | rt_sigprocmask   | 0            | 4.241467
11992  | ioctl            | 0            | 4.241642
11992  | rt_sigprocmask   | 0            | 4.241768
11992  | rt_sigaction     | 0            | 4.241933
11992  | unknown          | 0            | 4.242334
11992  | ioctl            | 0            | 4.242523
11992  | ioctl            | 0            | 4.242659
11992  | ioctl            | 0            | 4.242792
11992  | ioctl            | 0            | 4.242922
11992  | ioctl            | 0            | 4.243058
11992  | ioctl            | 0            | 4.243204
11992  | write            | 0            | 4.243376
11992  | rt_sigprocmask   | 0            | 4.243552
11992  | rt_sigaction     | 0            | 4.243699
11992  | rt_sigaction     | 0            | 4.244004
11992  | rt_sigaction     | 0            | 4.244124
11992  | rt_sigaction     | 0            | 4.244249
11992  | rt_sigaction     | 0            | 4.244377
11992  | rt_sigaction     | 0            | 4.244492
11992  | rt_sigaction     | 0            | 4.244602
11992  | rt_sigaction     | 0            | 4.244717
11992  | rt_sigaction     | 0            | 4.244826
11992  | rt_sigaction     | 0            | 4.244963
11992  | rt_sigaction     | 0            | 4.245168
11992  | rt_sigaction     | 0            | 4.245277
11992  | rt_sigaction     | 0            | 4.245399
11992  | rt_sigprocmask   | 0            | 4.245514
11992  | rt_sigaction     | 0            | 4.245636
11992  | write            | 0            | 4.245804
17089  | unknown          | 0            | 2.672358
17089  | execve           | 0            | 2.672930
17089  | execve           | 0            | 2.673476
17089  | execve           | 0            | 2.673984
17089  | execve           | 0            | 2.674288
17089  | execve           | 0            | 2.675541
17089  | execve           | 0            | 2.675921
17089  | brk              | 0            | 2.676232
17089  | mmap             | 0            | 2.676723
17089  | access           | 0            | 2.677054
17089  | openat           | 0            | 2.677466
17089  | fstat            | 0            | 2.677656
17089  | mmap             | 0            | 2.677889
17089  | close            | 0            | 2.678213
17089  | openat           | 0            | 2.678433
17089  | read             | 0            | 2.678613
17089  | fstat            | 0            | 2.678838
17089  | mmap             | 0            | 2.679133
17089  | mmap             | 0            | 2.679372
17089  | mmap             | 0            | 2.679641
17089  | mmap             | 0            | 2.679975
17089  | mmap             | 0            | 2.680296
17089  | close            | 0            | 2.680546
17089  | openat           | 0            | 2.680753
17089  | read             | 0            | 2.680933
17089  | unknown          | 0            | 2.681178
17089  | unknown          | 0            | 2.681605
17089  | mmap             | 0            | 2.681955
17089  | mmap             | 0            | 2.682294
17089  | mmap             | 0            | 2.682635
17089  | mmap             | 0            | 2.682904
17089  | mmap             | 0            | 2.683161
17089  | close            | 0            | 2.683424
17089  | openat           | 0            | 2.683662
17089  | read             | 0            | 2.683961
17089  | fstat            | 0            | 2.684241
17089  | mmap             | 0            | 2.684503
17089  | mmap             | 0            | 2.684745
17089  | mmap             | 0            | 2.685088
17089  | mmap             | 0            | 2.685363
17089  | close            | 0            | 2.685706
17089  | mmap             | 0            | 2.686182
17089  | unknown          | 0            | 2.686491
17089  | set_tid_address  | 0            | 2.686768
17089  | unknown          | 0            | 2.687123
17089  | unknown          | 0            | 2.687432
17089  | mprotect         | 0            | 2.687899
17089  | mprotect         | 0            | 2.688138
17089  | mprotect         | 0            | 2.688515
17089  | mprotect         | 0            | 2.689120
17089  | mprotect         | 0            | 2.689813
17089  | unknown          | 0            | 2.690408
17089  | munmap           | 0            | 2.690824
17089  | unknown          | 0            | 2.691378
17089  | unknown          | 0            | 2.691585
17089  | getrandom        | 0            | 2.691808
